mascara_id,ventas_2022,ventas_2023,tendencia_busquedas,lanzamiento_pelicula,redes_sociales,precio,categoria,nombre_mascara,clasificacion,distancia_esperada
1,19998,11898,0.430838761520552,1,35502,938.2627966129162,disney,Máscara Disney 1,B,25
2,5012,37332,0.806644546133057,0,41386,1915.3182195035117,superheroe,Máscara Superheroe 2,C,50
3,6999,32669,0.8311207626802002,0,18538,2387.2730680343843,superheroe,Máscara Superheroe 3,C,50
4,9135,1596,0.8112068718387611,0,32738,293.2413632125058,politicos,Máscara Político 4,C,50
5,5524,1306,0.20954300947830584,1,29969,1669.1328174789414,harrypotter,Máscara Harry Potter 5,C,50
6,15857,3745,0.26730619135380496,0,37533,2561.4747751580485,disney,Máscara Disney 6,B,25
7,7698,29617,0.871705900225548,0,15184,1100.9548410076065,harrypotter,Máscara Harry Potter 7,C,50
8,7450,39656,0.8100146639592272,0,40534,2849.4363956626376,superheroe,Máscara Superheroe 8,C,50
9,16477,23878,0.7876164150565399,0,40581,2451.987367445696,politicos,Máscara Político 9,B,25
10,20518,1130,0.11571151893419862,0,37450,2218.2574270071823,disney,Máscara Disney 10,A,10
11,12604,19874,0.3813113924136786,0,21185,2352.9280868676583,superheroe,Máscara Superheroe 11,B,25
12,1278,5208,0.29713205222675365,1,49780,1773.6728770566754,anime,Máscara Anime 12,C,50
13,5903,10813,0.1210797560351361,1,21070,2288.839417776436,terror,Máscara Terror 13,C,50
14,7459,38662,0.8618104120442948,1,34557,334.5689843782675,disney,Máscara Disney 14,C,50
15,10236,19673,0.7747789281133391,0,43304,2277.051408655575,disney,Máscara Disney 15,B,25
16,24971,3666,0.3886957954767165,1,1370,1759.2759337612094,anime,Máscara Anime 16,A,10
17,1653,13973,0.4216488116557502,0,43341,1410.8893915343647,politicos,Máscara Político 17,C,50
18,7951,6927,0.8051136019621074,0,30071,1408.8011202352511,anime,Máscara Anime 18,C,50
19,13232,6273,0.5961095937224032,1,47843,2402.2805140472024,politicos,Máscara Político 19,B,25
20,18472,16720,0.21732462252776447,0,29864,1894.1788273889504,terror,Máscara Terror 20,B,25
21,20099,31427,0.6705299316838214,0,12914,1772.5580054724066,terror,Máscara Terror 21,A,10
22,5946,37504,0.43252835513764276,0,25991,657.6356491416527,harrypotter,Máscara Harry Potter 22,C,50
23,3000,2220,0.5116832197212043,0,36604,959.0573307317802,harrypotter,Máscara Harry Potter 23,C,50
24,13590,28094,0.9175387376440118,0,33217,2991.7111139276985,disney,Máscara Disney 24,B,25
25,14022,13471,0.7179190491806458,0,13260,535.8532266347015,superheroe,Máscara Superheroe 25,B,25
26,5351,10237,0.9282094602798583,1,48957,2296.322826605641,superheroe,Máscara Superheroe 26,C,50
